author_name,rating,content
Radek Stanislaw,1,Jeśli chcesz stracić wszystkie ciężko zarobione pieniądze to aplikacja dla ciebie. Obsługa poniżej krytyki. Gwarancja straty.
Marcin Anonimowy,5,"Great, easy to use app"
Marcin Piotr,5,git
Krzysztof Głowa,1,"Wiekszego buractwa nie widzialem numer telefonu podczas rejestracji udostepnilem teraz po 6 telefonow na dzień od pseudo sprzedawcow mam .nie polecam Odp. Do Xtb Pierwszy zadzwonil Pan i przedstawil sie że,dzwoni z xtb polska puzniej 2 telefony z poczatkiem 44 anglia wujek google wypluł podmiot powiazany z xtb england, później po 6 telefony na dzień od pseudo handlowców z Polski. NIE Polecam!!!!!!!!!!!!!!!!!!!!"
Sebastian J,2,"Niby jest, działa, ale jest okropnie niefunkcjonalna. W ""Tradingu"" nie idzie sortować akcji po nazwie/zmianie, nie ma tam kategorii w której mieszczą się tylko posiadane akcje, nie potrzebne obrazki spółek, wartość procentowa akcji powinna być w oddzielnej kolumnie a nie pod nazwą - ogólnie na ekranie dużo zmarnowanej powierzchni i niewielka ilość istotnych informacji, z ""Portofilo - Otwarte pozycje"" nie mogę przejść bezpośrednio do zakupu, wolumenu nie można zamienić na inną kolumnę."
Klaudia Mikołajczuk,1,"Crashing a lot, not good for a trading app."
Dawid Patok,5,"niewielkie elementy analizy fundamentalnej i notowania z gpw, ktore odstaja od rzeczywistych wartosci"
Y H,1,"Wprowadzenie zmian w otwartych pozycjach za pomocą tej aplikacji jest wysoce ryzykowne. Można stracić pieniądze, czas i nerwy na wyjaśnienie tego. A sądząc po tym jak długo trwa taka reklamacja mają takich problemów więcej. Dziękuję za ""radę"" . Wiem jak dokonać takich zmian i jak obsługiwać waszą aplikacje, ale rozumiem, najprościej przerzucić odpowiedzialność za swoją indolencję na innych. Brawo wy."
hesoyam hesoyam,2,"Na poczatku bylem oczarowany dzialaniem apki ale stopniowo sie zniechecalem przez dziwne bledy takie jak samoistne zamykanie pozycji ktora przynosi juz profit a do poziomu TP ma daleko... zlecenia stop loss modyfikowane przy otwartej pozycji ulegaja zmianie samoistnie przez co nie mozna zgarnac profitu mimo stop lossu na plusie. XTB dziala na niekorzysc klienta,zdecydowanie nie polecam aplikacji. Jedyny plus to intuicyjna obsluga i szeroka oferta instrumentow finansowych."
Tadek Kłósko,5,Bardzo fajna i spełnienia wymagania
Łukasz Michalak,5,kozaki
hacker21,1,Po aktualizacji aplikacja nie wyswietla zakładek wpłat i wypłat wystepują white screen w apk
